m1,m3,alpha12,alpha23,G1,S1,G2,S2,dist1,dist2,S1/G2,S1/G1,phi_theo,phi_approx,phi_error
3.0,1.0,0.8,0.75,0.6118768087222377,0.04592363706664277,0.8733191181896762,0.010196981284075918,0.025249335198948862,0.014041063124494801,0.05258517317454238,0.0750537304437859,1.695685e-05,1.724443e-05,-0.016959796286281907
3.0,3.0,0.8,0.75,0.4729232776663062,0.060227548827438165,0.9215467253963519,0.05430847644988608,0.03108737324385663,0.08897067140725677,0.06535485089107625,0.1273516269375402,2.036881e-05,2.030048e-05,0.003354707759203116
3.0,10.0,0.8,0.75,0.44817546046645246,0.16378201589251967,0.8333609786339771,0.1679362449166638,0.06505718530310355,0.17637966577905873,0.19653189925089457,0.36544173061608165,1.650206e-05,1.587091e-05,0.03824722712938921
10.0,1.0,0.8,0.75,0.15392424497437746,0.05409920055739675,0.8100256126663187,0.07086336068193834,0.025535923043245683,0.07513272702918304,0.06678702464644452,0.35146640197197143,5.967440e-06,6.127392e-06,-0.026804118926451636
10.0,3.0,0.8,0.75,0.546758020205082,0.05152942923020444,0.8773907148237634,0.016671467904838082,0.02522150355946348,0.02187840231648977,0.058730310635387646,0.09424540166941932,9.002522e-06,9.166898e-06,-0.01825885717426978
10.0,10.0,0.8,0.75,0.4742989907500136,0.06701509984934678,0.9251829111685528,0.05540581325898575,0.0310871400050652,0.08897066360119177,0.07243443327839176,0.14129294212364896,1.115644e-05,1.111905e-05,0.0033513914904413837
1.0,1.0,0.8,0.8,0.46883827838802733,0.06457039669055678,0.8841214764166978,0.04465364475575348,0.03226269997564906,0.0737104498087897,0.07303339915715827,0.13772424238175368,1.422101e-05,1.388795e-05,0.023420374495374825
1.0,3.0,0.8,0.8,0.43323797170228906,0.12978355792836405,0.79723160348528,0.13185300491422908,0.055182422146524406,0.14356004084372442,0.16279279115502396,0.29956644247598,1.042023e-05,9.430740e-06,0.09495822464680245
1.0,10.0,0.8,0.8,0.4342217009950636,0.15622372882754562,0.7901218750858157,0.20880871864861716,0.07289085398798104,0.17691702176932164,0.197721052604167,0.35977872241194514,4.736068e-06,4.056757e-06,0.14343356589152584
3.0,1.0,0.8,0.8,0.5672483605031249,0.05321749106951569,0.8268205731249084,0.007599468830713529,0.026439153645831204,0.00988144978975539,0.06436401415168473,0.09381691473257686,7.403930e-06,7.744106e-06,-0.04594528135108655
3.0,3.0,0.8,0.8,0.469302892193437,0.06827707394344751,0.8823394875127657,0.045906219919262074,0.03226262021050608,0.07371044465068095,0.07738186368142078,0.14548615633782436,8.210491e-06,8.018227e-06,0.02341681545854882
3.0,10.0,0.8,0.8,0.4348763138215862,0.1362303926401739,0.8099718476536527,0.14415344779418976,0.05738911578068133,0.1480384443480248,0.16819151558762147,0.3132623882018652,5.707770e-06,5.133072e-06,0.10068702196666925
10.0,1.0,0.8,0.8,0.15697580874888437,0.056555912591876305,0.778611262668106,0.05742958524739411,0.026220073523788613,0.060223453104668825,0.07263690535129602,0.36028425680767995,2.689650e-06,2.933431e-06,-0.09063678802928608
10.0,3.0,0.8,0.8,0.5136752333266541,0.05782774127663363,0.8267634824605863,0.01348025337582747,0.026393953418695253,0.01625995838064414,0.06994472119708119,0.11257646373591086,3.948446e-06,4.151164e-06,-0.05134138489905653
10.0,10.0,0.8,0.8,0.4715967889284341,0.08161042808392319,0.8817070531733899,0.05004406215926213,0.03226234054365789,0.07371042752803394,0.09255957269503014,0.17305128024590463,4.497045e-06,4.391794e-06,0.02340436436100884
1.0,1.0,0.8,0.85,0.44805974963534895,0.057176377378397196,0.8650209885305026,0.03623540099134759,0.029867693986105517,0.060648988018955775,0.06609825441984755,0.12760882320924807,-1.539411e-05,-1.572594e-05,-0.02155579983145064
1.0,3.0,0.8,0.85,0.4251302878051157,0.08724887991624779,0.7938301225222563,0.10556465438736727,0.04172345703438772,0.11851222436083965,0.10990875433024605,0.20522856738036885,-7.833961e-06,-8.666414e-06,-0.10626206545986211
1.0,10.0,0.8,0.85,0.45277883553215037,0.10915032163600483,0.7663735168507966,0.16534069630385043,0.04986296550853158,0.14762522872299555,0.14242444348093913,0.24106763185545232,-2.815850e-06,-3.261858e-06,-0.15839204958659575
3.0,1.0,0.8,0.85,0.5474724182160274,0.07427465564563783,0.8509076590354702,0.004725328697730436,0.03020352923449895,0.006121317343753363,0.08728873792231512,0.1356683061544294,-1.165771e-05,-1.083497e-05,0.07057477331077495
3.0,3.0,0.8,0.85,0.44830047086788527,0.06215129112654439,0.8695360056528911,0.036556184660291424,0.029867675852395636,0.060648981348706964,0.07147638593743809,0.13863757717278966,-8.887809e-06,-9.079355e-06,-0.021551483844366778
3.0,10.0,0.8,0.85,0.4281018277761376,0.09414975916718164,0.7948351062305334,0.11339992390046903,0.04276542781060382,0.1223552587001314,0.11845193855827817,0.21992374958140637,-4.171838e-06,-4.641741e-06,-0.11263709551500316
10.0,1.0,0.8,0.85,0.16256877145270635,0.06793902635750239,0.842294964377859,0.04535043491183623,0.02957208071659735,0.04689086186818433,0.08065942363514415,0.41790945302964816,-5.453345e-06,-4.713020e-06,0.13575616545959066
10.0,3.0,0.8,0.85,0.49908297051335326,0.07800595760042978,0.8547022602544846,0.009236628824345356,0.03045120690478578,0.011231800967950447,0.09126682030442247,0.15629857600669764,-6.405495e-06,-5.904750e-06,0.07817430348118892
10.0,10.0,0.8,0.85,0.44947113931103905,0.08010796356678399,0.8644912403588473,0.03773074532220615,0.02986761187557263,0.060648956598607036,0.09266486440456176,0.1782271575647227,-4.868086e-06,-4.972927e-06,-0.021536379272197443
1.0,1.0,0.8,0.9,0.4648048910826283,0.03732669764785805,0.9316075874711268,0.029235120652336008,0.021534838360549827,0.04938734587093948,0.04006697471108232,0.0803061636483995,-4.644980e-05,-4.683090e-05,-0.008204700605156209
1.0,3.0,0.8,0.9,0.4517217731167758,0.0525336892987558,0.8612827048974357,0.08254199398130162,0.025551094715228827,0.09600464949036143,0.060994710563718656,0.11629656223184791,-2.091216e-05,-2.154382e-05,-0.03020559694535653
1.0,10.0,0.8,0.9,0.4869214178985481,0.08032140297346688,0.8051460194292126,0.13105209874617377,0.02880203064936314,0.12057502816832322,0.09976004480579641,0.16495762975495595,-7.162687e-06,-7.446275e-06,-0.03959244939370559
3.0,1.0,0.8,0.9,0.5975580672729564,0.09482341816775566,0.9289722616917317,0.002523285603885489,0.033805848950805094,0.002813148526593694,0.10207346556836341,0.1586848598672531,-4.439923e-05,-4.287616e-05,0.034304054480652074
3.0,3.0,0.8,0.9,0.46521313943577663,0.05635858376667865,0.8943417679577187,0.029551670701458328,0.0215348615640104,0.04938733772024874,0.06301683068585373,0.12114572652662368,-2.681782e-05,-2.703782e-05,-0.008203424542297267
