$m_1$,$m_3$,$\alpha_{12}$,$\alpha_{23}$,co1$_{theo}$,co1$_{approx}$,co1$_{saa}$,$err1$,co2$_{theo}$,co2$_{approx}$,co2$_{saa}$,$err2$
10.0,1.0,0.75,0.7722222222222223,3.1622776615946933e-08,3.162277661601588e-08,3.162277660168379e-08,4.510401363524844e-10,-3.556904229540822e-10,-4.905737541067003e-10,-5.414434166811039e-10,0.5222322045792093
10.0,5.5,0.75,0.7722222222222223,3.162277661173695e-08,3.1622776611785785e-08,3.162277660168379e-08,3.1790870996900997e-10,-1.2812797723811862e-09,-1.4896518001326573e-09,-1.4998264293309854e-09,0.17056903703680784
10.0,10.0,0.75,0.7722222222222223,3.1622776609436056e-08,3.162277660949619e-08,3.162277660168379e-08,2.4514810969002134e-10,-1.59102247935245e-09,-1.7176686114053999e-09,-1.6378909336542455e-09,0.02945807171805086
1.0,1.0,0.75,0.7944444444444444,3.1622776679824765e-08,3.162277668050278e-08,3.162277660168379e-08,2.4710345309708383e-09,8.424794892538005e-10,8.674955254429999e-10,8.198924305943831e-10,0.026810217871800372
1.0,5.5,0.75,0.7944444444444444,3.1622776625565065e-08,3.162277662596953e-08,3.162277660168379e-08,7.551921726367573e-10,2.3619240517035485e-10,4.595524546502672e-10,4.269190902865804e-10,0.8075055799472597
1.0,10.0,0.75,0.7944444444444444,3.162277661576269e-08,3.162277661604288e-08,3.162277660168379e-08,4.4521386426154243e-10,1.2992475850725452e-10,2.9267161630405483e-10,2.710297453686358e-10,1.0860515615543935
5.5,1.0,0.75,0.7944444444444444,3.1622776625772886e-08,3.162277662597213e-08,3.162277660168379e-08,7.617640451639629e-10,7.070072009741556e-10,4.441308691082992e-10,4.269262390055495e-10,0.39615008387848705
5.5,5.5,0.75,0.7944444444444444,3.1622776615891215e-08,3.162277661601447e-08,3.162277660168379e-08,4.49278150467651e-10,8.424867880057007e-10,8.67480993778351e-10,8.198787085217992e-10,0.026834936530480618
5.5,10.0,0.75,0.7944444444444444,3.162277661174901e-08,3.162277661185619e-08,3.162277660168379e-08,3.182901945615159e-10,6.104938408740074e-10,8.000789632804467e-10,7.507608559462954e-10,0.229759918415354
10.0,1.0,0.75,0.7944444444444444,3.162277661593157e-08,3.162277661604408e-08,3.162277660168379e-08,4.5055423003127563e-10,4.858707100748179e-10,2.811034077982632e-10,2.710388222497082e-10,0.44215854829369805
10.0,5.5,0.75,0.7944444444444444,3.162277661177397e-08,3.162277661185699e-08,3.162277660168379e-08,3.1907953075621175e-10,9.525358765642211e-10,7.887162070806341e-10,7.507734275615366e-10,0.21181611524222888
10.0,10.0,0.75,0.7944444444444444,3.162277660949786e-08,3.1622776609565685e-08,3.162277660168379e-08,2.4710261659869825e-10,8.424940844789994e-10,8.6746646372415e-10,8.198649804384398e-10,0.02685965926342796
1.0,1.0,0.75,0.8166666666666667,3.1622776676355616e-08,3.162277667649918e-08,3.162277660168379e-08,2.361330402397126e-09,3.4474415599106506e-09,3.6623503947236994e-09,3.491221580949231e-09,0.01269927866151125
1.0,5.5,0.75,0.8166666666666667,3.1622776625303875e-08,3.162277662545693e-08,3.162277660168379e-08,7.469326022290943e-10,1.3840041997422204e-09,1.7188047449498803e-09,1.8179062079323306e-09,0.3135120603470186
1.0,10.0,0.75,0.8166666666666667,3.162277661570808e-08,3.162277661585788e-08,3.162277660168379e-08,4.4348682512761144e-10,8.424629921909364e-10,1.071962667049264e-09,1.154112687523739e-09,0.3699268670809103
5.5,1.0,0.75,0.8166666666666667,3.162277662471978e-08,3.162277662515203e-08,3.162277660168379e-08,7.284618841743118e-10,2.4897043734635322e-09,2.141521620667619e-09,1.8179142085835867e-09,0.26982728232323827
5.5,5.5,0.75,0.8166666666666667,3.162277661526047e-08,3.162277661528657e-08,3.162277660168379e-08,4.2933234469371483e-10,3.4474490712598994e-09,3.6623346487879496e-09,3.4912062446368533e-09,0.012692623581227419
5.5,10.0,0.75,0.8166666666666667,3.1622776611428205e-08,3.162277661142659e-08,3.162277660168379e-08,3.0814538295412466e-10,2.8121252597527953e-09,3.2063970855303503e-09,3.1969281746341925e-09,0.1368370464817858
10.0,1.0,0.75,0.8166666666666667,3.162277661547871e-08,3.162277661572138e-08,3.162277660168379e-08,4.362335955842066e-10,1.6945778325493361e-09,1.3906601909400085e-09,1.1541228461212893e-09,0.3189319345780548
10.0,5.5,0.75,0.8166666666666667,3.162277661124773e-08,3.1622776611334085e-08,3.162277660168379e-08,3.024381809290671e-10,3.585023340001889e-09,3.515056371264043e-09,3.196942244442759e-09,0.10825064685880834
10.0,10.0,0.75,0.8166666666666667,3.162277660915095e-08,3.162277660916538e-08,3.162277660168379e-08,2.3613226647220975e-10,3.4474565875191004e-09,3.6623189085345004e-09,3.491190882646542e-09,0.012685959639281276
1.0,1.0,0.75,0.8388888888888889,3.162277666843109e-08,3.162277666730278e-08,3.162277660168379e-08,2.11073499512049e-09,6.10124624792618e-09,6.518788631593185e-09,6.40486353172727e-09,0.04976315845378142
1.0,5.5,0.75,0.8388888888888889,3.1622776624719826e-08,3.162277662460883e-08,3.162277660168379e-08,7.28463349008182e-10,2.3439774864746458e-09,2.737373012237654e-09,3.3350679114615737e-09,0.4228242082979786
1.0,10.0,0.75,0.8388888888888889,3.1622776615540675e-08,3.162277661556758e-08,3.162277660168379e-08,4.381931247796944e-10,1.4201226608737456e-09,1.6787679431909999e-09,2.1172988733701214e-09,0.4909267570362061
5.5,1.0,0.75,0.8388888888888889,3.1622776621407086e-08,3.162277662228133e-08,3.162277660168379e-08,6.237053362468708e-10,4.900162699283641e-09,4.466421484659889e-09,3.3350768916816603e-09,0.3193946616978211
5.5,5.5,0.75,0.8388888888888889,3.1622776613819623e-08,3.1622776613614476e-08,3.162277660168379e-08,3.837686871322345e-10,6.101253735791895e-09,6.518772633342926e-09,6.404846338037662e-09,0.04975905205593995
5.5,10.0,0.75,0.8388888888888889,3.162277661074507e-08,3.1622776610573985e-08,3.162277660168379e-08,2.865428500659162e-10,4.863691282093902e-09,5.423428851771956e-09,5.864983979086035e-09,0.20587094018045066
10.0,1.0,0.75,0.8388888888888889,3.162277661391899e-08,3.162277661448378e-08,3.162277660168379e-08,3.86910965047922e-10,3.4474740015100996e-09,3.0082994493199453e-09,2.1173102757468404e-09,0.3858372028855349
10.0,5.5,0.75,0.8388888888888889,3.1622776609911896e-08,3.162277660992159e-08,3.162277660168379e-08,2.601955110048383e-10,6.558172914015716e-09,6.637393866239988e-09,5.864999771546973e-09,0.10569607595849397
10.0,10.0,0.75,0.8388888888888889,3.162277660835849e-08,3.1622776608245683e-08,3.162277660168379e-08,2.110725163817033e-10,6.101261231340645e-09,6.518756640993135e-09,6.404829097219403e-09,0.04975493662185876
1.0,1.0,0.75,0.861111111111111,3.162277665666858e-08,3.162277665374148e-08,3.162277660168379e-08,1.7387716147118647e-09,8.646706224091354e-09,9.240077891471194e-09,9.594973813134213e-09,0.1096680706464626
1.0,5.5,0.75,0.861111111111111,3.162277662400535e-08,3.162277662368973e-08,3.162277660168379e-08,7.058695421319364e-10,3.119341737140897e-09,3.5230659717757462e-09,4.99618930360053e-09,0.6016806507965042
1.0,10.0,0.75,0.861111111111111,3.1622776615331074e-08,3.162277661526658e-08,3.162277660168379e-08,4.3156496077519094e-10,1.875519224341498e-09,2.132819139394263e-09,3.1718793549226674e-09,0.6912006625985541
5.5,1.0,0.75,0.861111111111111,3.162277661373045e-08,3.162277661525793e-08,3.162277660168379e-08,3.80948881930174e-10,8.074687539400685e-09,7.585185218161754e-09,4.996199416577146e-09,0.3812516716965161
5.5,5.5,0.75,0.861111111111111,3.162277661168098e-08,3.1622776611148876e-08,3.162277660168379e-08,3.161387721284055e-10,8.646713414849635e-09,9.24006287793696e-09,9.594954470139334e-09,0.1096649107927198
5.5,10.0,0.75,0.861111111111111,3.162277660983323e-08,3.162277660948649e-08,3.162277660168379e-08,2.5770780456696307e-10,6.67685514150542e-09,7.336214763649427e-09,8.786204835877512e-09,0.31591964325535754
10.0,1.0,0.75,0.861111111111111,3.1622776609761634e-08,3.162277661102478e-08,3.162277660168379e-08,2.554437991874627e-10,5.987613237298745e-09,5.379399365831472e-09,3.1718921955842412e-09,0.47025766864407387
10.0,5.5,0.75,0.861111111111111,3.16227766076253e-08,3.1622776607434285e-08,3.162277660168379e-08,1.878869165978833e-10,9.72377029233352e-09,9.993806207096777e-09,8.786222620383957e-09,0.09641812216489214
10.0,10.0,0.75,0.861111111111111,3.162277660718228e-08,3.1622776606889584e-08,3.162277660168379e-08,1.7387745471006023e-10,8.64672060993597e-09,9.240047863996084e-09,9.594935056530502e-09,0.10966174222224058
1.0,1.0,0.75,0.8833333333333333,3.162277664272515e-08,3.162277663804458e-08,3.162277660168379e-08,1.2978417628816323e-09,1.0919391619763155e-08,1.161968684893277e-08,1.3102457439472533e-08,0.19992559070399282
