m2,dist1,psi_theo,psi_approx,S2psi
1e-20,0.00010693181209278368,9.976380179886673e-11,9.974100616458597e-11,0.5885807462373892
1e-20,0.00010938133448621093,9.974770886619455e-11,9.972435292398216e-11,0.6030478348237713
1e-20,0.00011161268047586689,9.973088753344777e-11,9.970696454839137e-11,0.6176888181000536
1e-20,0.00011423510926236971,9.971331894218735e-11,9.968882207436147e-11,0.6325064074924616
1e-20,0.00011691434936440935,9.969498424584552e-11,9.966990632628444e-11,0.6475090987839683
1e-20,0.00011942293082211181,9.967586496481216e-11,9.965019791431048e-11,0.6627203942616928
1e-20,0.00012172235428255627,9.965593954033914e-11,9.962967723227964e-11,0.6780898783159531
1e-20,0.00012436370842805716,9.963519039557423e-11,9.960832445565524e-11,0.6936755859096916
1e-20,0.0001269896265486168,9.961359722432515e-11,9.958611953947841e-11,0.70947077202497
1e-20,0.00012927293439390764,9.959113916729041e-11,9.956304221632663e-11,0.7254601544129006
1e-20,0.00013212515993435477,9.956779676831962e-11,9.953907199428862e-11,0.7416704763042327
1e-20,0.00013447393792191353,9.954354889528488e-11,9.951418815496168e-11,0.7580910553605351
1e-20,0.0001373600867541189,9.951837514808564e-11,9.948836975145307e-11,0.7747360096952548
1e-20,0.0001401046858430703,9.949225379398307e-11,9.946159560640571e-11,0.7915909994134644
1e-20,0.0001428091425983168,9.94651649981918e-11,9.943384431004436e-11,0.8086966905784614
1e-20,0.00014516907161677263,9.943708604050387e-11,9.940509421824086e-11,0.826025298929905
1e-20,0.00014838249794451745,9.940799594369019e-11,9.937532345059281e-11,0.8436001443013235
1e-20,0.00015089021242378775,9.937787244087078e-11,9.934450988854536e-11,0.8614173969556893
1e-20,0.00015391466761121642,9.934669337592091e-11,9.931263117351227e-11,0.8794822844255099
1e-20,0.00015662958129308654,9.931443634931083e-11,9.927966470504496e-11,0.8977999944131633
1e-20,0.0001594906971162485,9.928107884326084e-11,9.92455876390177e-11,0.9163789531368861
1e-20,0.00016218277309032166,9.924659782536673e-11,9.921037688584551e-11,0.935220636997881
