m2,dist1,psi_theo,psi_approx,S2psi
0.3333333333333333,0.013213656441974607,0.5215111612725337,0.372113158978887,818.2865590243886
0.3333333333333333,0.01351750060373411,0.5213692452290739,0.37171870706144333,819.6697549719911
0.3333333333333333,0.01382751346311668,0.5212231408889623,0.37131537488695693,821.0786498450436
0.3333333333333333,0.014143787492699763,0.5210727702434338,0.3709030304566728,822.5135393589005
0.3333333333333333,0.014466415548547648,0.5209180539795958,0.3704815407654307,823.9747175982222
0.3333333333333333,0.01479549085788253,0.5207589114539891,0.3700507718094719,825.4624768294071
0.3333333333333333,0.015131107005964204,0.5205952606655273,0.36961058859487383,826.9771073061715
0.3333333333333333,0.015473357922013115,0.5204270182278052,0.36916085514664077,828.5188970680896
0.3333333333333333,0.01582233786415434,0.5202540993407325,0.3687014345184688,830.0881317317351
0.3333333333333333,0.01617814140334192,0.5200764177615123,0.3682321888031861,831.6850942745442
0.3333333333333333,0.016540863406145825,0.5198938857749026,0.3677529791439085,833.310064810828
0.3333333333333333,0.01691059901649254,0.5197064141627801,0.36726366574590996,834.9633203600472
0.3333333333333333,0.017287443636155874,0.5195139121729728,0.36676410788923636,836.6451346070173
0.3333333333333333,0.017671492904029668,0.5193162874873322,0.3662541639420752,838.3557776537986
0.3333333333333333,0.01806284267410963,0.5191134461890384,0.36573369137490297,840.0955157631361
0.3333333333333333,0.018461588992144094,0.5189052927291276,0.3652025467754276,841.8646110932739
0.3333333333333333,0.018867828070843563,0.518691729892173,0.3646605858643416,843.6633214237046
0.3333333333333333,0.019281656263672835,0.5184726587611607,0.36410766351190843,845.4918998719327
0.3333333333333333,0.019703170037195947,0.5182479786815287,0.3635436337554007,847.3505946010021
0.3333333333333333,0.020132465941645784,0.5180175872242403,0.36296834981740334,849.2396485169842
0.3333333333333333,0.020569640580084227,0.5177813801480402,0.36238166412500783,851.1592989571185
0.3333333333333333,0.02101479057580024,0.5175392513607628,0.3617834283299114,853.1097773678002
0.3333333333333333,0.021468012537934407,0.5172910928796636,0.3611734933294411,855.0913089721524
0.3333333333333333,0.02192940302526037,0.5170367947907655,0.36055170928852975,857.1041124269915
0.3333333333333333,0.0223990585082304,0.5167762452072585,0.3599179256626413,859.1483994694033
0.3333333333333333,0.022877075328906076,0.5165093302267826,0.3592719912216882,861.2243745517713
0.3333333333333333,0.023363549659033,0.5162359338877338,0.3586137540749521,863.3322344659597
0.3333333333333333,0.023858577455909954,0.5159559381244093,0.3579430616970138,865.4721679556087
0.3333333333333333,0.024362254416216617,0.5156692227210775,0.3572597609547287,867.644355316814
0.3333333333333333,0.0248746759275991,0.515375665264906,0.35656369813526084,869.8489679867562
0.3333333333333333,0.025395937017876097,0.5150751410976532,0.35585471897518484,872.086168119705
0.3333333333333333,0.025926132302024698,0.5147675232662273,0.355132668690687,874.3561081508024
0.3333333333333333,0.026465355926553753,0.5144526824719178,0.3543973920088806,876.6589303464696
0.3333333333333333,0.02701370151155887,0.51413048701844,0.35364873320023743,878.9947663422038
0.3333333333333333,0.027571262089933112,0.5138008027585725,0.35288653611218096,881.3637366662986
0.3333333333333333,0.028138130044099225,0.5134634930395227,0.3521106442038375,883.7659502502596
0.3333333333333333,0.028714397039803687,0.5131184186468637,0.3513209005819629,886.2015039249578
0.3333333333333333,0.02930015395718164,0.5127654377470716,0.3505171480380814,888.6704819024725
0.3333333333333333,0.02989549081874978,0.5124044058285977,0.34969922908681955,891.172955243368
0.3333333333333333,0.0305004967144206,0.5120351756414346,0.34886698600548527,893.7089813089015
0.3333333333333333,0.031115259723353654,0.5116575971351487,0.3480202608748876,896.2786031980309
0.3333333333333333,0.03173986683259012,0.5112715173953412,0.34715889562141145,898.8818491689481
0.3333333333333333,0.032374403852283885,0.5108767805784775,0.3462827320603735,901.5187320446533
0.3333333333333333,0.033018955327570175,0.5104732278450553,0.34539161194066303,904.1892486023927
0.3333333333333333,0.03367360444684939,0.5100606972910532,0.34448537699068443,906.8933789465503
0.3333333333333333,0.0343384329464119,0.50963902387765,0.34356386896561664,909.631085864856
0.3333333333333333,0.03501352101129576,0.5092080393591144,0.3426269296959952,912.4023141673222
0.3333333333333333,0.03569894717231162,0.5087675722088588,0.34167440113763337,915.2069900077986
0.3333333333333333,0.036394788199020825,0.5083174475436115,0.34070612542289475,918.0450201878123
0.3333333333333333,0.037101118988669426,0.507857487045614,0.3397219449133176,920.91629144219
0.3333333333333333,0.0378180124508306,0.5073875088828425,0.338721702253603,923.8206697063886
0.3333333333333333,0.03854553938776676,0.5069073276271844,0.337705240426991,926.7579993650205
0.3333333333333333,0.03928376837025789,0.5064167541704734,0.3366724028120112,929.7281024811243
0.3333333333333333,0.040032765608900706,0.5059155956384608,0.3356230332406095,932.730778006592
0.3333333333333333,0.040792594820600346,0.5054036553024545,0.3345569760576858,935.7658009720948
0.3333333333333333,0.04156331709031079,0.5048807324888139,0.333474076182011,938.8329216577112
0.3333333333333333,0.04234499072766293,0.5043466224860292,0.33237417916856343,941.931864742546
0.3333333333333333,0.0431376711185658,0.5038011164494738,0.3312571312722469,945.0623284340421
0.3333333333333333,0.04394141057150295,0.503244001303714,0.33012277951301183,948.2239835762252
0.3333333333333333,0.044756258158419944,0.5026750596422979,0.32897097174239776,951.4164727363548
0.3333333333333333,0.045582259550105544,0.5020940696250148,0.3278015567114353,954.6394092702797
0.3333333333333333,0.04641945684583488,0.5015008048725247,0.3266143841399815,957.8923763655307
0.3333333333333333,0.04726788839720141,0.5008950343582702,0.32540930478742575,961.174926062029
0.3333333333333333,0.04812758862601771,0.5002765222977393,0.3241861705247693,964.4865782507553
0.3333333333333333,0.04899858783600621,0.4996450280348002,0.32294483440809624,967.8268196487637
0.3333333333333333,0.04988091201829987,0.4990003059252782,0.32168515075340265,971.1951027516509
0.3333333333333333,0.05077458265045258,0.49834210521750816,0.32040697521277206,974.590844762083
0.3333333333333333,0.05167961648892891,0.4976701699299488,0.31911016485190363,978.0134264948235
0.3333333333333333,0.05259602535485824,0.4969842387257188,0.3177945782289519,981.4621912577161
0.3333333333333333,0.053523815912880815,0.49628404478396143,0.31646007547468363,984.9364437080815
0.3333333333333333,0.05446298944303013,0.4955693156680907,0.3151065183739263,988.4354486849612
0.3333333333333333,0.05541354160539994,0.49483977319071326,0.31373377044827444,991.9584300162624
0.3333333333333333,0.05637546219753034,0.494095133275276,0.31234169704004955,995.5045693011037
0.3333333333333333,0.05734873490427545,0.49333510581431833,0.31093016539749435,999.0730046668028
0.3333333333333333,0.05833333704009572,0.4925593945242302,0.30949904476114026,1002.6628295002987
0.3333333333333333,0.05932923928359576,0.49176769679658505,0.30804820645135583,1006.2730911543464
0.3333333333333333,0.060336405404163504,0.4909597035458605,0.3065775239570335,1009.9027896276916
0.3333333333333333,0.061354791980527554,0.490135099053496,0.30508687302537063,1013.5508762191889
0.3333333333333333,0.062384348111259695,0.4892935608083792,0.3035761317527271,1017.2162521564605
0.3333333333333333,0.06342501511685936,0.4884347593434834,0.3020451806765154,1020.8977671978207
0.3333333333333333,0.06447672623348771,0.48755835806877784,0.30049390286806954,1024.5942182084254
0.3333333333333333,0.06553940629817889,0.48666401310031765,0.29892218402647575,1028.3043477102246
0.3333333333333333,0.0666129714253516,0.4857513730854368,0.2973299125733059,1032.0268424056303
0.3333333333333333,0.06769732867460725,0.4848200790240112,0.29571697974820443,1035.7603316749821
0.3333333333333333,0.0687923757096922,0.48386976408585175,0.29408327970528364,1039.5033860483904
0.3333333333333333,0.06989800044850353,0.4829000534240212,0.2924287096102836,1043.2545156510616
0.3333333333333333,0.07101408070407417,0.481910563984212,0.29075316973841975,1047.0121686232867
0.3333333333333333,0.07214048381659822,0.48090090431016125,0.28905656357289544,1050.7747295150778
0.3333333333333333,0.07327706627618742,0.4798706743449394,0.2873387979039848,1054.540517655083
0.3333333333333333,0.07442367333657807,0.4788194652282913,0.2855997829286437,1058.3077854949868
0.3333333333333333,0.07558013861966541,0.4777468590900039,0.28383943235058473,1062.0747169296033
0.3333333333333333,0.07674628371078573,0.476652428839208,0.28205766348074796,1065.8394255925346
0.3333333333333333,0.07792191774492592,0.47553573794980647,0.280254397338084,1069.599953128901
0.3333333333333333,0.07910683698376582,0.47439634024196425,0.27842955875059094,1073.3542674451105
0.3333333333333333,0.08030082438368126,0.47323377965983887,0.27658307645654806,1077.1002609369582
0.3333333333333333,0.08150364915468497,0.47204759004539376,0.2747148832058177,1080.835748695898
0.3333333333333333,0.08271506631064236,0.4708372949087505,0.27282491586119095,1084.558466696117
0.3333333333333333,0.08393481621058183,0.4696024071948602,0.2709131154996675,1088.266069961809
0.3333333333333333,0.08516262409155848,0.468342429046781,0.2689794275135697,1091.9561307167685
